Question,Example_A,Example_B,Example_C,Example_D,Answer,Explanation
다음 중 올바른 비교급 표현이 아닌 것을 고르시오.,more better,taller,more interesting,happier,a. more better,비교급은 형용사 자체의 비교급 형태를 사용하거나 'more + 형용사'로 씁니다. 'better'는 already 비교급이므로 'more better'는 중복 표현입니다.
다음 중 시제 일치가 어색한 문장을 고르시오.,He said he was tired.,She told me she will come.,They thought it was a good idea.,I believed he was honest.,b. She told me she will come.,간접화법에서 동사의 시제는 주절의 시제에 일치하여 과거형이 되는 것이 자연스럽습니다. 따라서 'will'이 아닌 'would'를 써야 합니다.
다음 중 목적격 관계대명사가 올바르게 사용된 문장은?,The book who I borrowed is interesting.,The boy whom I met yesterday is my classmate.,The girl which sings is my sister.,The man that he helped me was kind.,b. The boy whom I met yesterday is my classmate.,목적격 관계대명사로 'whom' 또는 'that'을 사용할 수 있습니다. b 문장은 관계대명사 'whom'이 목적어 자리에 적절히 사용되었습니다.
다음 중 시제 사용이 올바른 문장은?,I have seen him yesterday.,She has gone to the market an hour ago.,They visited the museum last weekend.,He is living here since 2010.,c. They visited the museum last weekend.,'last weekend'와 같은 과거 시점이 주어지면 과거 시제를 사용해야 합니다. c 문장이 시제 사용이 적절합니다.
"다음 문장에서 밑줄 친 부분 중 문법적으로 오류가 있는 것을 고르시오. If he had left earlier, he will catch the train.",had left,earlier,will,the train,c. will,"이 문장은 가정법 과거완료 구문입니다. 'If + 주어 + had + p.p., 주어 + would/could/might have + p.p.' 따라서 'will'이 아닌 'would have'가 적절합니다."
다음 중 동명사가 알맞게 사용된 문장을 고르시오.,He suggested to go for a walk.,I enjoy to swim in the summer.,She avoided meeting him.,They decided going out.,c. She avoided meeting him.,avoid는 동명사를 목적어로 취하는 동사입니다. 따라서 'avoided meeting'이 적절한 표현입니다.
다음 중 원형부정사의 사용이 옳지 않은 문장을 고르시오.,He made me cry.,I saw her to dance.,Let him go.,She helped me carry the bags.,b. I saw her to dance.,지각동사 see는 목적어 + 동사원형 구조를 취합니다. 따라서 'to dance'가 아닌 'dance'가 되어야 문법적으로 맞습니다.
다음 중 'had better'의 용법이 잘못된 문장을 고르시오.,You had better to go now.,You had better see a doctor.,He had better stay quiet.,They had better not be late.,a. You had better to go now.,'had better'는 뒤에 동사원형이 옵니다. 'to go'가 아니라 'go'가 되어야 올바른 표현입니다.
다음 중 가정법 미래가 사용된 문장을 고르시오.,"If I had studied, I would have passed.","If it should rain tomorrow, the event would be canceled.","If I were you, I would apologize.","If he left now, he could catch the bus.","b. If it should rain tomorrow, the event would be canceled.","가정법 미래는 미래에 대한 가능성이 낮은 상황을 가정할 때 사용하며, 'If + 주어 + should + 동사원형' 구조를 사용합니다. b 문장이 해당 구문입니다."
다음 중 조동사의 용법이 적절하지 않은 문장을 고르시오.,She can plays the piano.,You must be quiet.,He might come today.,I could swim when I was five.,a. She can plays the piano.,조동사 뒤에는 동사원형이 와야 합니다. 따라서 'plays'가 아닌 'play'가 되어야 올바른 문장입니다.
